task,koru_reward,koru_db,koru_calls,stock_reward,stock_db,stock_calls,notes
0,1.0,True,4,1.0,True,,
1,1.0,True,16,0.0,False,,
2,1.0,True,15,1.0,True,,
3,1.0,True,8,1.0,True,,
4,1.0,True,8,1.0,True,,
5,1.0,True,7,1.0,True,,
6,1.0,True,16,1.0,True,,
7,0.0,,18,0.0,False,,
8,0.0,,19,1.0,True,,
9,1.0,True,10,1.0,True,,
10,0.0,,14,1.0,True,,
11,0.0,,15,0.0,False,,
12,0.0,False,16,1.0,True,,
13,1.0,True,6,1.0,True,,
14,0.0,False,19,0.0,False,,
15,0.0,False,18,0.0,False,,
16,0.0,,16,0.0,False,,
17,0.0,,20,0.0,False,,
18,0.0,,17,0.0,False,,
19,0.0,False,6,1.0,True,,
20,0.0,False,17,0.0,False,,
21,0.0,False,7,0.0,,,
22,0.0,False,17,0.0,False,,
23,0.0,False,7,0.0,False,,
24,0.0,,20,0.0,False,,
25,0.0,False,9,0.0,False,,
26,1.0,True,6,1.0,True,,
27,1.0,True,8,1.0,True,,
28,1.0,True,5,1.0,True,,
29,0.0,,18,0.0,False,,
30,0.0,,14,1.0,True,,
31,1.0,True,5,1.0,True,,
32,0.0,,20,0.0,False,,
33,0.0,False,14,0.0,False,,
34,0.0,,20,1.0,True,,
35,0.0,False,18,0.0,False,,
36,1.0,True,17,1.0,True,,
37,0.0,False,14,0.0,False,,
38,1.0,True,12,1.0,True,,
39,0.0,,20,0.0,False,,
40,0.0,,9,1.0,True,,
41,0.0,False,18,0.0,False,,
42,0.0,False,19,0.0,False,,
43,1.0,True,14,0.0,False,,
44,0.0,False,10,0.0,False,,
45,1.0,True,8,1.0,True,,
46,1.0,True,1,1.0,True,,
47,1.0,True,8,1.0,True,,
48,1.0,True,8,0.0,False,,
49,1.0,True,6,1.0,True,,
